nome;caracteristicas;ano;data_registro
gmc sierra 1500 extended cab slt;good|8 cylinders|gas|other|pickup|silver;2013;2021-04-18
ford f250 super duty regular cab;good|8 cylinders|other|other|4wd|pickup|white;2019;2021-04-18
jeep wrangler unlimited willys;good|6 cylinders|gas|other|4wd|other|white;2018;2021-04-17
jeep wrangler unlimited sahara;good|gas|other|4wd|SUV|black;2019;2021-04-17
jeep wrangler unlimited rubicon;good|6 cylinders|gas|other|4wd|other|red;2017;2021-04-17
jeep wrangler unlimited all new;good|6 cylinders|gas|other|4wd|SUV|silver;2018;2021-04-17
chrysler town & country;excellent|6 cylinders|gas|automatic|fwd|mini-van|blue;2003;2021-04-16
gmc acadia sle-2 sport utility;good|6 cylinders|gas|other|fwd|SUV|white;2018;2021-04-15
lincoln mkz sedan 4d;good|gas|other|fwd|sedan|red;2013;2021-04-15
gmc acadia slt-1 sport utility;good|6 cylinders|gas|other|fwd|SUV;2017;2021-04-15
lincoln mkz premiere sedan 4d;good|gas|other|fwd|sedan;2017;2021-04-15
lexus nx 200t sport utility 4d;good|gas|other|fwd|hatchback|red;2015;2021-04-14
lexus nx 200t sport utility 4d;good|gas|other|fwd|hatchback|white;2016;2021-04-14
buick encore gx select sport;good|other|other|SUV|red;2020;2021-04-14
jaguar e-pace p250 se sport;good|gas|other|other|black;2018;2021-04-14
toyota fj cruiser;good|6 cylinders|gas|manual|4wd|offroad|black;2008;2021-04-13
mercedes-benz e320 cdi;good|6 cylinders|diesel|automatic|rwd|sedan|blue;2007;2021-04-13
volvo s60 t5 inscription sedan;good|diesel|other|sedan;2018;2021-04-13
volvo s60 t6 r-design sedan 4d;good|gas|other|sedan|white;2019;2021-04-13
volvo s60 t6 r-design sedan 4d;good|other|other|sedan|red;2019;2021-04-13
volvo s60 t6 r-design sedan 4d;good|gas|other|sedan|silver;2019;2021-04-13
chevrolet express cargo van;like new|6 cylinders|gas|automatic|rwd|van|white;2018;2021-04-12
chevrolet express cargo van;like new|6 cylinders|gas|automatic|rwd|van|white;2019;2021-04-12
chevrolet express cargo van;like new|6 cylinders|gas|automatic|rwd|van|white;2018;2021-04-12
infiniti qx60 luxe sport utility;good|6 cylinders|gas|other|fwd|other|black;2020;2021-04-12
alfa-romeo romeo stelvio ti sport suv;good|gas|other|hatchback;2018;2021-04-12
lincoln continental select sedan;good|6 cylinders|gas|automatic|sedan;2017;2021-04-12
audi q5 premium sport utility 4d;good|gas|other|SUV|silver;2018;2021-04-12
hyundai sonata sel sedan 4d;good|gas|other|fwd|sedan|white;2018;2021-04-11
audi a6 2.0t premium plus sedan;good|other|automatic|sedan|silver;2018;2021-04-11
