nome;caracteristicas;ano;data_registro
acura mdx technology pkg sport;good|other|other|fwd|other|white;2020;2021-04-05
audi q5 premium sport utility 4d;good|gas|other|SUV|black;2018;2021-04-05
acura mdx sh-awd sport utility;good|6 cylinders|gas|other|other|white;2020;2021-04-05
ford explorer limited;excellent|gas|automatic|white;2020;2021-04-05
audi q5 premium sport utility 4d;good|gas|other|SUV|silver;2018;2021-04-05
hyundai sonata se sedan 4d;good|other|other|sedan|blue;2020;2021-04-04
infiniti qx qx56 sport utility;good|8 cylinders|other|other|4wd|SUV;2012;2021-04-04
infiniti qx60 pure sport utility;good|6 cylinders|gas|other|fwd|SUV|brown;2020;2021-04-04
mercedes-benz cl-class cl 550;good|8 cylinders|gas|automatic|coupe|black;2011;2021-04-04
mercedes-benz metris passenger;good|gas|other|rwd|van|black;2018;2021-04-04
lincoln mkx reserve sport;good|6 cylinders|gas|automatic|fwd|SUV|black;2018;2021-04-04
audi a6 45 tfsi premium plus;good|gas|other|sedan|black;2020;2021-04-04
jeep commander 4x4;fair|gas|automatic|4wd|SUV|blue;2007;2021-05-04
ford ranger supercab xl pickup;good|gas|other|pickup;2020;2021-05-04
jeep wrangler unlimited sport;good|6 cylinders|gas|other|4wd|other|silver;2017;2021-05-04
ford f150 supercrew cab xl;good|6 cylinders|gas|other|pickup;2019;2021-05-04
bmw 4 series 440i xdrive gran;good|gas|automatic|coupe;2017;2021-05-04
jeep wrangler;good|4 cylinders|gas|manual|4wd|offroad|blue;1992;2021-05-04
bmw m805i;excellent|8 cylinders|gas|automatic|4wd|sedan|black;2020;2021-05-03
jeep wrangler;good|6 cylinders|gas|manual|4wd|SUV|silver;2003;2021-05-03
chevrolet silverado 1500 ltz crew cab 4wd;automatic|4wd|pickup;2011;2021-05-03
chevrolet silverado 1500 lt crew cab 4wd;automatic|4wd|pickup;2015;2021-05-03
chevrolet silverado 1500 2lt crew cab long box 4wd;automatic|4wd|pickup;2014;2021-05-03
toyota tundra crewmax pickup 4d;good|8 cylinders|gas|other|pickup|white;2013;2021-05-03
ford f150 super cab xlt pickup;good|6 cylinders|gas|other|pickup|black;2018;2021-05-03
jeep wrangler sport suv 2d;good|other|other|4wd|other;2017;2021-05-03
chevrolet silverado 1500 regular;good|8 cylinders|other|automatic|4wd|pickup|black;2014;2021-05-03
audi q5 2.0t premium plus;good|gas|automatic|SUV|white;2012;2021-05-02
ford f-150 larait 4 door;excellent|6 cylinders|gas|automatic|white;2012;2021-05-02
ram 1500 quad cab harvest pickup;good|6 cylinders|gas|other|4wd|pickup|black;2018;2021-05-02
ford mustang gt premium;good|8 cylinders|gas|other|rwd|other|white;2015;2021-05-02
chevrolet camaro ss coupe 2d;good|8 cylinders|gas|other|rwd|coupe|red;2016;2021-05-02
chevrolet cruze limited 1lt;good|gas|automatic|fwd|sedan|blue;2016;2021-05-02
ford f-150;excellent|8 cylinders|gas|automatic|4wd|pickup|red;2015;2021-05-01
honda accord;good|6 cylinders|gas|automatic|fwd|sedan|grey;2005;2021-05-01
toyota tacoma access cab trd;good|6 cylinders|gas|other|4wd|pickup;2017;2021-05-01
chevrolet colorado extended cab;good|6 cylinders|gas|other|4wd|pickup|red;2016;2021-05-01
ford ranger supercrew xl pickup;good|other|other|pickup|black;2019;2021-05-01
gmc sierra 1500 double cab;good|6 cylinders|gas|automatic|4wd|pickup|black;2017;2021-05-01
nissan 370z nismo coupe 2d;good|6 cylinders|gas|other|rwd|coupe|white;2019;2021-04-30
dodge challenger r/t coupe 2d;good|other|other|rwd|coupe|black;2020;2021-04-30
gmc sierra 1500 regular cab;good|6 cylinders|other|other|pickup|white;2015;2021-04-30
mazda mx-5 miata grand touring;good|gas|other|rwd|other|black;2019;2021-04-30
honda accord;excellent|4 cylinders|gas|automatic|fwd|coupe|grey;2012;2021-04-29
toyota 4runner sr5 sport utility;good|6 cylinders|gas|other|4wd|other|silver;2018;2021-04-29
chevrolet silverado 1500 crew;good|8 cylinders|gas|other|pickup|white;2019;2021-04-29
ford f150 regular cab xl pickup;good|6 cylinders|gas|other|pickup|black;2016;2021-04-29
ram 1500 crew cab big horn;good|6 cylinders|other|other|4wd|pickup;2017;2021-04-29
toyota tundra double cab sr;good|8 cylinders|gas|other|4wd|pickup|black;2016;2021-04-28
chevrolet silverado 1500 double;good|6 cylinders|gas|other|4wd|pickup|silver;2016;2021-04-28
chevrolet colorado crew cab work;good|6 cylinders|gas|other|4wd|pickup|red;2018;2021-04-28
toyota tacoma double cab pickup;good|6 cylinders|gas|other|4wd|pickup|silver;2012;2021-04-28
toyota avalon limited;excellent|6 cylinders|gas|automatic|fwd|sedan|green;2012;2021-04-27
ford f150 supercrew cab xlt;good|8 cylinders|gas|other|pickup|white;2012;2021-04-27
gmc sierra 1500 extended cab slt;good|8 cylinders|other|other|pickup;2013;2021-04-27
ram 1500 classic regular cab;good|8 cylinders|gas|other|pickup|white;2019;2021-04-27
jeep wrangler unlimited all new;good|6 cylinders|diesel|other|4wd|other|white;2018;2021-04-27
ford f-150;gas|automatic;2011;2021-04-27
ford f150 super cab xl pickup 4d;good|6 cylinders|gas|other|4wd|pickup|red;2016;2021-04-26
chevrolet silverado 1500 regular;good|6 cylinders|gas|other|pickup|red;2017;2021-04-26
jeep wrangler sport s utility 2d;good|other|other|4wd|other|black;2020;2021-04-26
chevrolet corvette grand sport;good|8 cylinders|gas|other|rwd|other|red;2011;2021-04-26
chevrolet camaro ss coupe 2d;good|8 cylinders|gas|other|rwd|coupe|white;2017;2021-04-25
ford ranger super cab xlt pickup;good|6 cylinders|gas|other|pickup;2011;2021-04-25
ford mustang gt premium coupe 2d;good|8 cylinders|gas|other|rwd|coupe|red;2015;2021-04-25
volkswagen touareg tdi sport suv;good|6 cylinders|gas|other|other|white;2012;2021-04-25
chevrolet caprice;good|8 cylinders|gas|automatic|rwd|sedan|green;1968;2021-04-24
honda civic ex sedan 4d;good|gas|other|fwd|sedan;2018;2021-04-24
ford expedition xlt sport;good|6 cylinders|gas|other|4wd|SUV|blue;2017;2021-04-24
honda civic lx coupe 2d;good|gas|other|fwd|coupe|white;2018;2021-04-24
honda civic sport touring;good|gas|other|fwd|hatchback|white;2020;2021-04-24
toyota tacoma access cab pickup;good|other|other|pickup|red;2014;2021-04-23
gmc sierra 1500 regular cab work;good|6 cylinders|gas|other|pickup|black;2011;2021-04-23
bmw z4 sdrive35is roadster 2d;good|other|other|rwd|other|red;2011;2021-04-23
mazda mx-5 miata grand touring;good|gas|other|rwd|other|white;2020;2021-04-23
toyota tacoma;gas|automatic;2004;2021-04-22
audi q5 premium sport utility 4d;good|gas|other|other;2018;2021-04-22
acura ilx special edition sedan;good|other|other|sedan|silver;2018;2021-04-22
audi q5 premium sport utility 4d;good|gas|other|SUV|silver;2018;2021-04-22
jaguar e-pace p250 s sport;good|other|other|other|white;2018;2021-04-22
ford bronco;good|6 cylinders|gas|automatic|4wd|other|green;1989;2021-04-21
acura mdx sh-awd sport utility;good|6 cylinders|gas|automatic|SUV|silver;2014;2021-04-21
acura mdx sh-awd sport utility;good|6 cylinders|gas|other|SUV;2014;2021-04-21
acura mdx sh-awd sport utility;good|other|other|other|black;2017;2021-04-21
acura mdx sh-awd sport utility;good|6 cylinders|gas|automatic|other|silver;2017;2021-04-21
jeep grand cherokee limited 4x4;good|8 cylinders|gas|automatic|4wd|SUV;2011;2021-04-20
infiniti qx60 3.5 sport utility;good|6 cylinders|other|other|fwd|other|blue;2017;2021-04-20
infiniti qx60 3.5 sport utility;good|other|other|other|silver;2015;2021-04-20
alfa-romeo romeo stelvio ti sport;good|other|other|hatchback|black;2019;2021-04-20
alfa-romeo romeo stelvio ti sport;good|other|other|hatchback|white;2018;2021-04-20
kia soul ! wagon 4d;good|other|other|wagon|black;2010;2021-04-19
hyundai sonata sport sedan 4d;good|gas|other|fwd|sedan|black;2017;2021-04-19
audi a6 2.0t premium sedan 4d;good|gas|other|fwd|sedan;2018;2021-04-19
lincoln continental sedan 4d;good|6 cylinders|gas|other|fwd|sedan|black;2020;2021-04-19
ford mustang v6 convertible 2d;good|6 cylinders|gas|other|rwd|convertible|red;2017;2021-04-18
ram 1500 crew cab tradesman;good|8 cylinders|gas|other|4wd|pickup|blue;2017;2021-04-18
gmc sierra 1500 limited double;good|8 cylinders|gas|other|4wd|pickup|blue;2019;2021-04-18
chevrolet corvette stingray;good|8 cylinders|gas|other|rwd|other|white;2014;2021-04-18
ram 3500;8 cylinders|gas|automatic|rwd|pickup|white;2014;2021-04-17
bmw 3 series 330i xdrive sedan;good|other|other|sedan|black;2017;2021-04-17
bmw 3 series 340i sedan 4d;good|gas|other|rwd|sedan|blue;2016;2021-04-17
bmw 3 series 330i xdrive sedan;good|gas|other|sedan|white;2020;2021-04-17
bmw 3 series 330i xdrive sedan;good|gas|automatic|sedan;2018;2021-04-17
mitsubishi outlander gt sport;good|6 cylinders|gas|other|4wd|SUV|brown;2019;2021-04-15
gmc acadia sle-1 sport utility;good|gas|other|fwd|SUV|white;2017;2021-04-15
gmc acadia slt-1 sport utility;good|6 cylinders|gas|other|fwd|SUV;2017;2021-04-15
lincoln mkz sedan 4d;good|gas|other|fwd|sedan|red;2013;2021-04-15
acura ilx 2.0l sedan 4d;good|other|other|sedan|silver;2014;2021-04-14
acura ilx sedan 4d;good|diesel|other|fwd|sedan|black;2017;2021-04-14
jaguar e-pace p250 sport utility;good|other|other|SUV|black;2020;2021-04-14
audi q5 premium sport utility 4d;good|gas|other|SUV|black;2018;2021-04-14
chrysler pt cruiser;good|4 cylinders|gas|automatic|fwd|hatchback|red;2007;2021-04-13
jeep wrangler right hand drive;manual|4wd|SUV;2011;2021-04-13
acura mdx sh-awd sport utility;good|6 cylinders|gas|other|SUV|white;2018;2021-04-13
acura mdx sh-awd sport utility;good|other|other|SUV|black;2019;2021-04-13
acura mdx sh-awd sport utility;good|6 cylinders|gas|other|SUV|white;2017;2021-04-13
acura mdx sport utility 4d;good|other|other|SUV|silver;2018;2021-04-13
infiniti qx60 luxe sport utility;good|6 cylinders|gas|other|fwd|other|black;2020;2021-04-12
alfa-romeo romeo stelvio sport utility;good|gas|other|hatchback|blue;2018;2021-04-12
infiniti qx60 luxe sport utility;good|6 cylinders|gas|automatic|other|blue;2020;2021-04-12
hyundai sonata sel sedan 4d;good|gas|other|fwd|sedan|white;2018;2021-04-11
kia soul wagon 4d;good|gas|other|fwd|wagon|brown;2016;2021-04-11
audi a6 2.0t premium plus sedan;good|other|automatic|sedan|silver;2018;2021-04-11
lincoln continental select sedan;good|6 cylinders|gas|automatic|sedan;2017;2021-04-11
jeep wrangler unlimited all new;good|6 cylinders|gas|other|4wd|SUV|silver;2018;2021-04-10
chevrolet tahoe lt sport utility;good|other|other|SUV|silver;2017;2021-04-10
toyota camry le sedan 4d;good|gas|other|fwd|sedan|silver;2017;2021-04-10
jeep wrangler unlimited all new;good|6 cylinders|gas|other|4wd|SUV;2018;2021-04-10
ford f250 super duty lariat;good|8 cylinders|diesel|automatic|4wd|truck|grey;2008;2021-04-09
bmw 3 series 335i xdrive sedan;good|gas|other|sedan|silver;2013;2021-04-09
bmw 3 series 330i xdrive sedan;good|gas|automatic|sedan|black;2018;2021-04-09
bmw 3 series 340i xdrive sedan;good|gas|automatic|sedan|blue;2018;2021-04-09
bmw 3 series 330i xdrive sedan;good|other|other|sedan|black;2018;2021-04-09
chevrolet silverado 1500 lt crew cab long box 4wd;gas|automatic|4wd|pickup;2016;2021-04-08
toyota prius prius v;other|fwd|hatchback|silver;2011;2021-04-08
ram 1500 sport crew cab lwb 4wd;automatic|4wd|pickup;2014;2021-04-08
jeep wrangler unlimited sport 4wd;manual|4wd|SUV;2016;2021-04-08
ford f-150 xl supercrew 6.5-ft. bed 4wd;automatic|4wd|pickup;2014;2021-04-08
ford f-150 xl supercrew 5.5-ft. bed 4wd;automatic|4wd|pickup;2017;2021-04-08
chevrolet silverado 1500 work truck 2wt crew cab long box 4w;automatic|4wd|pickup;2014;2021-04-08
chevrolet silverado 1500 ls crew cab long box 4wd;automatic|4wd|pickup;2018;2021-04-08
audi q8 premium sport utility 4d;good|other|automatic|other|black;2019;2021-04-08
mitsubishi outlander sport es;good|other|other|hatchback|orange;2020;2021-04-08
cadillac xt4 sport suv 4d;good|gas|other|hatchback|white;2020;2021-04-08
bmw 5 series 530i sedan 4d;good|gas|other|rwd|sedan|black;2020;2021-04-08
gmc acadia sle-2 sport utility;good|6 cylinders|gas|other|fwd|SUV;2018;2021-04-07
lincoln mkz reserve sedan 4d;good|gas|other|fwd|sedan;2017;2021-04-07
mitsubishi outlander gt sport;good|other|other|4wd|SUV|white;2020;2021-04-07
gmc acadia denali sport utility;good|6 cylinders|gas|other|SUV|black;2020;2021-04-07
jaguar xj8;good|8 cylinders|gas|automatic|rwd|sedan|black;2006;2021-04-06
mercedes-benz g500 g-wagon;excellent|8 cylinders|gas|automatic|4wd|SUV|black;2002;2021-04-06
acura ilx premium pkg sedan 4d;good|gas|other|fwd|sedan|black;2019;2021-04-06
jaguar e-pace p300 r-dynamic se;good|other|other|SUV|silver;2019;2021-04-06
ford f-150;fair|8 cylinders|gas|automatic|rwd|black;1995;2021-04-06
audi q5 45 tfsi premium plus;good|gas|other|SUV|white;2020;2021-04-06
acura mdx advance pkg sport;good|other|other|other|silver;2019;2021-04-05
acura mdx sh-awd w/technology;good|6 cylinders|gas|other|other|silver;2020;2021-04-05
acura mdx technology pkg sport;good|other|other|fwd|other|white;2020;2021-04-05
acura mdx sh-awd sport utility;good|6 cylinders|gas|other|other|white;2020;2021-04-05
alfa-romeo romeo stelvio sport suv 4d;good|other|other|hatchback|blue;2018;2021-04-04
mercedes-benz cl-class cl 550;good|8 cylinders|gas|automatic|coupe|black;2011;2021-04-04
infiniti qx60 3.5 sport utility;good|6 cylinders|gas|automatic|SUV|blue;2018;2021-04-04
ford f450 super duty;excellent|8 cylinders|diesel|automatic|4wd|truck|white;2013;2021-05-04
ram 1500;8 cylinders|gas|automatic|4wd|truck;2020;2021-05-04
hyundai kona;4 cylinders|gas|other|4wd|SUV|white;2019;2021-05-04
ford f-150;other|automatic|4wd|pickup|silver;2013;2021-05-04
chevrolet trax;4 cylinders|gas|other|4wd|SUV|silver;2019;2021-05-04
chrysler windsor deluxe;excellent|8 cylinders|gas|automatic|rwd|coupe|red;1955;2021-05-04
chevrolet silverado;diesel|automatic|4wd|pickup|white;2013;2021-05-04
chevrolet silverado;diesel|automatic|4wd|pickup|white;2013;2021-05-04
ford f-150;gas|automatic|4wd|pickup|red;2013;2021-05-04
nissan rogue awd 4dr sv;excellent|4 cylinders|gas|automatic|4wd|SUV|white;2018;2021-05-04
ford galaxie;good|8 cylinders|gas|automatic|rwd|wagon|red;1964;2021-05-04
chevrolet tahoe;other|automatic|4wd|SUV;2012;2021-05-04
dodge grand caravan;good|gas|automatic|mini-van|silver;2016;2021-05-04
gmc sierra;gas|automatic|4wd|pickup|black;2011;2021-05-04
ford f-350;excellent|8 cylinders|diesel|automatic|4wd|pickup|white;2010;2021-05-04
toyota tacoma double cab sr5;excellent|6 cylinders|gas|automatic|4wd|pickup|silver;2013;2021-05-04
ford van;gas|automatic;1991;2021-05-04
ford mustang;good|8 cylinders|gas|automatic|rwd|coupe|blue;1968;2021-05-04
buick rendezvous;gas|automatic;2006;2021-05-04
honda fit ex automatic;gas|automatic|fwd|hatchback|red;2016;2021-05-04
chevrolet malibu lt automatic;gas|automatic|fwd|sedan|grey;2018;2021-05-04
gmc yukon xl slt automatic;gas|automatic|4wd|SUV|white;2019;2021-05-04
chevrolet silverado 1500;excellent|8 cylinders|gas|automatic|4wd|truck|black;2007;2021-05-03
chevrolet s10 pickup;fair|6 cylinders|gas|automatic|4wd|pickup|blue;2000;2021-05-03
chevrolet silverado 2500hd;excellent|diesel|automatic|truck|white;2017;2021-05-03
toyota 4 runner sr5;gas|automatic;2007;2021-05-03
gmc sierra 2500hd;excellent|8 cylinders|gas|automatic|4wd|truck|white;2001;2021-05-03
saturn outlook;good|gas|automatic|SUV|black;2008;2021-05-03
ford f350 lariat;new|8 cylinders|diesel|automatic;2020;2021-05-03
honda odyssey;excellent|6 cylinders|gas|automatic|fwd|van|silver;2012;2021-05-03
chevrolet traverse lt awd;excellent|6 cylinders|gas|automatic|4wd|SUV|red;2010;2021-05-03
jeep liberty sport 4x4;excellent|6 cylinders|gas|automatic|4wd|SUV|red;2008;2021-05-03
ford e350 cargo van;excellent|8 cylinders|diesel|automatic|rwd|van|white;1999;2021-05-03
ford ranger;excellent|6 cylinders|gas|manual|4wd|truck|black;2011;2021-05-03
chevrolet avalanche;excellent|8 cylinders|gas|automatic|4wd|truck|orange;2002;2021-05-03
chevrolet traverse;excellent|6 cylinders|gas|automatic|4wd|SUV|blue;2011;2021-05-03
dodge charger;excellent|6 cylinders|gas|automatic|4wd|sedan|grey;2015;2021-05-03
subaru outback;excellent|4 cylinders|gas|automatic|4wd|wagon|blue;2014;2021-05-03
ford taurus;fair|gas|manual|fwd|sedan;2003;2021-05-03
chevrolet silverado;gas|automatic;2017;2021-05-03
chrysler 300;excellent|6 cylinders|gas|automatic|4wd|sedan|blue;2018;2021-05-03
ram 2500;excellent|8 cylinders|gas|automatic|4wd|pickup|blue;2017;2021-05-03
toyota camry;excellent|4 cylinders|gas|automatic|fwd|sedan|blue;2012;2021-05-03
toyota rav4;excellent|4 cylinders|gas|automatic|4wd|SUV|brown;2011;2021-05-03
infiniti fx35;excellent|6 cylinders|gas|automatic|4wd|SUV|silver;2008;2021-05-03
toyota prius;excellent|4 cylinders|gas|automatic|fwd|hatchback|silver;2017;2021-05-03
dodge journey;excellent|6 cylinders|gas|automatic|4wd|SUV|blue;2015;2021-05-03
ford mustang;like new|6 cylinders|gas|automatic|rwd|convertible|red;2014;2021-05-03
chevrolet equinox;excellent|4 cylinders|gas|automatic|fwd|SUV|white;2011;2021-05-03
mini cooper s;excellent|4 cylinders|gas|manual|4wd|white;2015;2021-05-03
toyota rav4;excellent|4 cylinders|gas|automatic|4wd|SUV|custom;2006;2021-05-03
rover discovery;excellent|4 cylinders|gas|automatic|4wd|SUV|white;2017;2021-05-03
ford super duty f-250;excellent|8 cylinders|diesel|automatic|4wd|pickup|white;2014;2021-05-03
ford f-150;excellent|8 cylinders|gas|automatic|4wd|truck|white;2018;2021-05-03
chevrolet traverse;excellent|6 cylinders|gas|automatic|4wd|SUV|black;2019;2021-05-03
ford fiesta;excellent|4 cylinders|gas|automatic|fwd|sedan|white;2011;2021-05-03
chevrolet silverado 2500hd;excellent|8 cylinders|diesel|automatic|4wd|truck|black;2015;2021-05-03
kia optima;fair|4 cylinders|gas|automatic|sedan;2007;2021-05-03
toyota tacoma;excellent|6 cylinders|gas|automatic|4wd|truck|grey;2020;2021-05-03
chevrolet trax awd 4dr lt;excellent|4 cylinders|gas|automatic|4wd|SUV|silver;2019;2021-05-03
rover velar;excellent|6 cylinders|gas|automatic|4wd|SUV|grey;2018;2021-05-03
mercedes-benz c43 amg;excellent|6 cylinders|gas|automatic|4wd|sedan|white;2017;2021-05-03
hyundai tucson limited;excellent|4 cylinders|gas|automatic|4wd|SUV|orange;2016;2021-05-03
subaru outback;excellent|4 cylinders|gas|automatic|4wd|wagon|blue;2014;2021-05-03
ford f-350 lariat;excellent|8 cylinders|diesel|automatic|4wd|truck|white;2016;2021-05-03
chrysler town and country limite;excellent|6 cylinders|gas|automatic|fwd|mini-van|blue;2009;2021-05-03
dodge avenger;good|6 cylinders|gas|automatic|fwd|sedan|white;2013;2021-05-03
kia sorrento ex;excellent|4 cylinders|gas|automatic|fwd|SUV|black;2011;2021-05-03
volkswagen eurovan camper;good|6 cylinders|gas|automatic|fwd|van|white;1997;2021-05-03
ram 1500;excellent|8 cylinders|gas|automatic|4wd|truck|silver;2015;2021-05-03
bmw 328i gt xdrive awd;excellent|4 cylinders|gas|automatic|4wd|hatchback|silver;2015;2021-05-03
kia sportage ex;excellent|4 cylinders|gas|automatic|4wd|SUV|blue;2020;2021-05-03
hyundai sonata hybrid;excellent|4 cylinders|gas|automatic|fwd|sedan|white;2016;2021-05-03
nissan titan pro-4x;excellent|8 cylinders|gas|automatic|4wd|pickup|white;2014;2021-05-03
toyota highlander limited;excellent|6 cylinders|gas|automatic|4wd|SUV|black;2016;2021-05-03
bmw 330i gt m-sport awd;excellent|4 cylinders|gas|automatic|4wd|hatchback|blue;2018;2021-05-03
porsche panamera turbo;excellent|8 cylinders|gas|automatic|4wd|hatchback|brown;2017;2021-05-03
nissan armada sv 4x4;excellent|8 cylinders|gas|automatic|4wd|SUV|white;2012;2021-05-03
mazda 6 grand touring;excellent|4 cylinders|gas|automatic|fwd|sedan|red;2018;2021-05-03
volkswagen jetta se;excellent|4 cylinders|gas|automatic|fwd|sedan|blue;2019;2021-05-03
hyundai sonata 2.4l;excellent|4 cylinders|gas|automatic|fwd|sedan|blue;2017;2021-05-03
rover discovery hse;excellent|4 cylinders|gas|automatic|4wd|SUV|red;2017;2021-05-03
ford escape sel 4wd;excellent|4 cylinders|gas|automatic|4wd|SUV|black;2013;2021-05-03
bmw x1;excellent|4 cylinders|gas|automatic|4wd|SUV|grey;2017;2021-05-03
dodge durango limited awd;excellent|6 cylinders|gas|automatic|4wd|SUV|grey;2014;2021-05-03
ford taurus sel awd;excellent|6 cylinders|gas|automatic|4wd|sedan|white;2015;2021-05-03
bmw x5 xdrive40e awd;excellent|4 cylinders|hybrid|automatic|4wd|SUV|white;2016;2021-05-03
audi q5 premium plus awd;excellent|4 cylinders|gas|automatic|4wd|SUV|black;2017;2021-05-03
alfa-romeo romeo giulia;excellent|4 cylinders|gas|automatic|4wd|sedan|red;2017;2021-05-03
lincoln mkz awd;excellent|4 cylinders|gas|automatic|4wd|sedan|silver;2014;2021-05-03
jeep renegade sport 4x4;excellent|4 cylinders|gas|automatic|4wd|SUV|white;2017;2021-05-03
volkswagen golf s;excellent|4 cylinders|gas|automatic|4wd|wagon|black;2018;2021-05-03
rover discovery sport;excellent|4 cylinders|gas|automatic|4wd|SUV|black;2017;2021-05-03
kia soul !;excellent|4 cylinders|gas|automatic|fwd|SUV|red;2017;2021-05-03
subaru wrx sti;excellent|4 cylinders|gas|manual|4wd|sedan|blue;2020;2021-05-03
chevrolet silverado 1500;good|8 cylinders|gas|automatic|4wd|green;2004;2021-05-03
ford mustang;gas|manual|other;1966;2021-05-03
ford mustang;gas|automatic|other;1966;2021-05-03
chevrolet k3500;salvage|8 cylinders|gas|automatic|4wd|pickup|grey;1999;2021-05-03
chevrolet gmt-400;gas|manual|fwd|pickup|blue;1991;2021-05-03
ford f-550;gas|4wd|other|red;2012;2021-05-03
chevrolet nova 4door;good|6 cylinders|gas|automatic|rwd|sedan|brown;1978;2021-05-03
chevrolet silverado;diesel|automatic|4wd|pickup|white;2012;2021-05-03
dodge grand caravan gt;like new|6 cylinders|gas|automatic|fwd|van|white;2019;2021-05-03
ram 1500;gas|automatic|4wd|pickup;2013;2021-05-03
chrysler town and country;excellent|6 cylinders|gas|automatic|fwd|mini-van|blue;2002;2021-05-03
chevrolet silverado;other|automatic|4wd|pickup|brown;2014;2021-05-03
chevrolet traverse;new|6 cylinders|gas|automatic|fwd|SUV|black;2021;2021-05-03
chrysler pacifica touring l plus;new|6 cylinders|gas|automatic|fwd|mini-van|silver;2020;2021-05-03
audi tt;4 cylinders|gas|manual|other|custom;2001;2021-05-03
mini paceman;4 cylinders|gas|manual|other|red;2014;2021-05-03
cadillac ats;6 cylinders|other|automatic|sedan|custom;2014;2021-05-03
ford escape;gas|automatic|SUV;2010;2021-05-03
bmw 325xi;excellent|gas|automatic|4wd;2001;2021-05-03
jaguar xk xk8;8 cylinders|gas|automatic|rwd|coupe|custom;1998;2021-05-03
ford f-150;other|automatic|4wd|pickup|white;2010;2021-05-03
volkswagen new beetle cabrio;excellent|5 cylinders|gas|automatic|fwd|convertible|blue;2006;2021-05-03
ram 1500;other|automatic|4wd|pickup|white;2017;2021-05-03
toyota sienna;new|6 cylinders|gas|automatic|fwd|mini-van|white;2020;2021-05-03
dodge grand caravan;new|6 cylinders|gas|automatic|fwd|mini-van|white;2019;2021-05-03
toyota sienna xle;new|6 cylinders|gas|automatic|fwd|mini-van|silver;2020;2021-05-03
chevrolet silverado;other|automatic|4wd|pickup|white;2014;2021-05-03
pontiac solstice convertible;excellent|gas|manual|convertible|red;2008;2021-05-03
infiniti q50s;like new|6 cylinders|gas|automatic|rwd|sedan|white;2014;2021-05-03
honda civic;gas|automatic|sedan|black;2013;2021-05-03
kia soul;good|4 cylinders|gas|manual|fwd;2013;2021-05-03
chevrolet venture;gas|automatic;2004;2021-05-03
ford escape xlt;excellent|6 cylinders|gas|automatic|4wd|SUV|blue;2001;2021-05-03
hyundai santa fe;gas|automatic|4wd|wagon|red;2016;2021-05-03
chevrolet silverado ss;like new|8 cylinders|gas|automatic|4wd|pickup|black;2004;2021-05-03
chevrolet avalanche ltz;excellent|8 cylinders|gas|automatic|4wd|truck|white;2008;2021-05-03
subaru forester;gas|automatic;2000;2021-05-03
mini cooper s;excellent|4 cylinders|gas|manual|rwd|hatchback|green;2006;2021-05-03
chevrolet astro cargo van;fair|gas|automatic|4wd|van|white;2002;2021-05-03
ram 1500;gas|automatic|4wd|pickup|black;2013;2021-05-03
jeep cherokee latitude;excellent|4 cylinders|gas|automatic|4wd|SUV|black;2017;2021-05-03
ford f-150;other|automatic|4wd|pickup|black;2013;2021-05-03
ford edge sel awd;6 cylinders|gas|automatic|4wd|SUV|brown;2013;2021-05-03
jeep grand cherokee;excellent|6 cylinders|gas|automatic|4wd|SUV;2014;2021-05-03
ford explorer;good|8 cylinders|gas|automatic|4wd|SUV|grey;1999;2021-05-03
ford f-150;like new|6 cylinders|gas|automatic|4wd|truck|blue;2020;2021-05-03
toyota corolla;gas|automatic;2020;2021-05-03
chevrolet aveo;gas|automatic;2009;2021-05-03
ford f-150 xlt automatic;gas|automatic|4wd|pickup|red;2013;2021-05-03
ford f-150 xlt automatic;gas|automatic|4wd|pickup|silver;2018;2021-05-03
jeep wrangler unlimited sahara automatic;gas|automatic|4wd|SUV|silver;2019;2021-05-03
ford f-250;diesel|automatic;2019;2021-05-03
ford escape xlt;excellent|6 cylinders|gas|automatic|4wd|SUV|blue;2001;2021-05-03
subaru legacy 2.5i premium;excellent|4 cylinders|gas|automatic|4wd|sedan|black;2018;2021-05-03
toyota rav4 limited;excellent|4 cylinders|gas|automatic|4wd|SUV|black;2012;2021-05-03
ram 1500;excellent|8 cylinders|gas|automatic|4wd|truck|red;2011;2021-05-03
chevrolet avalanche ltz;excellent|8 cylinders|gas|automatic|4wd|truck|white;2008;2021-05-03
audi a4;excellent|4 cylinders|gas|automatic|4wd|sedan|grey;2008;2021-05-03
acura mdx;excellent|6 cylinders|gas|automatic|4wd|SUV|silver;2012;2021-05-03
lexus rx 350;excellent|6 cylinders|gas|automatic|4wd|SUV|silver;2009;2021-05-03
porsche 911;good|6 cylinders|gas|manual|4wd|coupe|white;2004;2021-05-03
subaru legacy;gas|automatic;2011;2021-05-02
chevrolet avalanche;gas|automatic;2003;2021-05-02
jeep liberty sport 4x4;excellent|6 cylinders|gas|automatic|4wd|SUV|red;2008;2021-05-02
nissan frontier;excellent|6 cylinders|gas|automatic|4wd|truck|white;2019;2021-05-02
gmc sierra 1500;excellent|gas|automatic|4wd|truck|red;1996;2021-05-02
ram 3500;diesel|automatic;2011;2021-05-02
ford f-250;fair|8 cylinders|gas|automatic|4wd|truck;1997;2021-05-02
dodge dakota;excellent|gas|manual|pickup|red;1997;2021-05-02
toyota tundra;good|8 cylinders|gas|automatic|4wd|truck|grey;2008;2021-05-02
